word	onset	duration
to	93.61973	0.1297
meet	93.74943	0.2793
Emma	94.0288	0.2993
and	94.378	0.2294
show	94.60748	0.3492
her	94.95669	0.1297
this	95.08639	0.7483
Okay	98.40884	0.2993
wow	98.70816	0.4290
Uh	99.56621	1.9555
Dad	101.73129	0.2594
Emma's	101.9907	0.2793
in	102.27007	0.0997
the	102.36984	0.0598
nursery	102.42971	0.3791
I'll	102.80884	0.2594
take	103.06825	0.2494
you	103.31769	0.0897
now	103.40748	0.2494
if	103.65692	0.1197
you	103.77664	0.0898
want	103.86644	0.2394
But	104.44512	0.2294
I	105.32313	0.0498
really	105.37302	0.1995
want	105.57256	0.1995
to	105.77211	0.0897
talk	105.89184	0.1895
to	106.15125	0.1596
you	106.40068	0.1297
I	106.56032	0.0299
know	106.59025	0.1297
I	106.71995	0.0798
still	106.79977	0.1995
need	106.99932	0.1396
to	107.139	0.0598
talk	107.19887	0.2693
to	107.49819	0.0897
you	107.58798	0.2594
But	107.84739	0.5387
before	108.38617	0.4689
you	108.8551	0.0598
guys	108.91497	0.2793
do	109.19433	0.0997
that	109.2941	0.3093
I	109.6034	0.1895
need	109.79297	0.2095
to	110.00249	0.0698
talk	110.07234	0.2195
to	110.32177	0.1097
you	110.43152	0.1895
And	110.62109	0.1396
Ross	110.76077	0.2693
I	111.03016	0.0997
need	111.12993	0.1596
to	111.28957	0.0798
talk	111.36939	0.1197
to	111.52902	0.1197
you	111.64875	0.1895
Oh	111.83832	0.0299
and	112.24739	1.7859
I	114.03333	0.1596
need	114.19297	0.1696
to	114.36259	0.0798
talk	114.4424	0.2294
to	114.67188	0.1496
you	114.82154	0.2494
About	115.5	0.2494
what	115.74943	0.1197
See	116.378	0.0598
if	116.43787	0.1596
you	116.59751	0.0798
know	116.67732	0.0598
what	116.73719	0.1396
these	116.87687	0.1795
guys	117.05646	0.2693
are	117.32585	0.0598
talking	117.38571	0.3392
about	117.72494	0.4489
So	118.17392	0.0598
no	118.23379	0.0698
one	118.30363	1.7859
told	120.08957	0.1197
you	120.2093	1.5165
life	121.72585	0.0898
was	121.81565	0.0897
gonna	121.90544	0.1396
be	122.04512	0.5088
this	122.55397	0.1097
way	122.66372	0.0598
Your	122.72358	2.9832
job's	125.7068	0.1596
a	125.86644	0.1097
joke	125.97619	0.1696
you're	126.1458	0.2693
broke	126.41519	0.1297
Your	126.5449	0.4090
love	126.95397	0.1097
life's	127.06372	0.1197
DOA	127.18345	0.1596
It's	127.34308	0.0898
like	127.43288	0.1297
you're	127.56259	0.3691
always	127.93175	0.6185
stuck	128.55034	0.1396
in	128.69002	0.1297
second	128.81973	0.4689
gear	129.28866	0.1895
When	129.47823	0.2893
it	129.76757	0.0698
hasn't	129.83741	1.5265
been	131.36395	0.3392
your	131.70317	0.3691
day	132.07234	0.1995
your	132.27188	0.5687
week	132.95034	0.2893
Your	133.23968	0.3591
month	133.64875	0.3093
or	133.95805	0.0598
even	134.0678	1.0875
your	135.15533	0.6684
year	135.82381	0.6684
But	136.49229	0.0997
I'll	136.60204	0.1496
be	136.7517	0.2594
there	137.01111	0.0898
for	137.10091	0.0598
you	137.16077	2.7537
When	139.91451	23.1374
the	163.05193	0.0698
rain	163.12177	1.8857
starts	165.00748	0.1795
to	165.18707	0.1396
pour	165.32676	0.1197
I'll	165.44649	0.0598
be	165.50635	0.3093
there	166.88322	0.1895
for	167.07279	0.1496
you	167.27234	0.2394
Like	167.56168	0.1097
I've	167.67143	0.1197
been	168.6093	0.1396
there	169.49728	0.1596
before	169.65692	0.3891
I'll	170.04603	0.0598
be	170.15578	0.0598
there	170.79433	0.1396
for	170.93401	0.2594
you	171.19342	0.0598
Because	171.25329	0.1496
you're	171.40295	0.1496
there	171.55261	0.0897
for	171.76213	0.2793
me	172.0415	0.1496
too	173.33855	0.0598
Isn't	174.04694	0.4090
she	174.45601	0.0598
beautiful	174.51587	0.5687
Look	175.08458	0.1396
at	175.22426	0.1297
her	175.48367	0.2394
My	175.72313	0.3192
first	176.222	0.2494
grandchild	176.47143	0.2693
What	176.74082	0.0897
about	176.83061	1.2571
Ben	178.08776	0.0997
Well	178.44694	0.1496
of	178.5966	0.0997
course	178.71633	0.4789
Ben	179.24512	0.4390
I	179.73401	0.1396
meant	179.8737	0.2993
my	180.20295	0.1297
first	180.33265	0.4090
granddaughter	180.74172	0.7782
God	183.09637	2.6839
isn't	185.78027	2.8634
she	188.64376	0.1396
beautiful	188.78345	0.5387
Doesn't	189.62154	0.1995
she	189.82109	0.1297
look	189.95079	0.0898
just	190.20023	0.2793
like	190.47959	0.2294
Rachel	190.70907	0.3691
I	191.96621	0.0798
know	192.04603	0.1297
everybody	192.17574	0.2993
keeps	192.47506	0.2594
saying	192.73447	0.3791
that	193.11361	0.2693
but	193.38299	0.2195
all	193.68231	0.2195
I	193.90181	0.0798
see	193.98163	0.2095
is	194.19116	0.1596
Vin	194.35079	0.1197
Diesel	194.47052	0.4290
Hey	195.28866	0.0898
what	195.37846	3.6317
do	199.27959	0.3990
you	199.67868	0.1596
think	199.83832	0.1596
our	199.99796	0.1297
baby	200.12766	0.2195
will	200.34717	0.1496
look	200.49683	0.1696
like	200.66644	0.1995
Oh	201.42472	0.3392
God	201.76395	0.5387
please	202.30272	0.3891
you	202.69184	0.3092
Aww	203.51995	0.7981
But	204.74717	0.3791
it'll	205.1263	0.1796
have	205.3059	0.1297
my	205.4356	0.1197
sense	205.55533	0.2594
of	205.81474	0.0598
humor	205.8746	0.3093
Ugh	207.48095	0.2095
Oh	208.21927	0.0399
Ross	208.25918	0.5886
Hmm	209.07732	0.1796
Have	209.25692	3.1229
you	212.8288	0.0698
thought	212.89864	0.8879
any	213.83651	0.3092
more	214.40522	0.7283
about	215.13356	0.2793
you	215.41293	0.1297
and	215.54263	0.1097
Rachel	215.65238	0.3192
Oh	217.16893	0.4190
yeah	217.58798	0.2594
Actually	217.84739	0.3691
I	218.21655	0.0498
was	218.26644	0.2195
going	218.48594	0.1795
to	218.66553	0.0598
talk	218.7254	0.2095
to	218.93492	0.0598
her	218.99478	0.1396
when	219.13447	0.1297
you	219.26417	0.0898
guys	219.35397	0.2095
all	219.56349	0.1297
came	219.6932	0.2394
in	219.93265	0.0698
the	220.00249	0.0698
room	220.07234	0.3192
Yay	220.72086	0.0798
That's	220.80068	0.5786
so	221.37937	0.2893
exciting	221.66871	0.7183
You	222.38707	0.2195
could	223.09546	0.6684
have	223.81383	0.1895
done	224.0034	0.2594
that	224.26281	0.1496
with	224.52222	0.1297
us	225.45011	0.2693
there	225.7195	0.6585
Yeah	226.71723	0.1796
right	226.89683	0.4988
Oh	227.51542	0.2095
sure	227.72494	0.3292
okay	228.0542	0.2793
You	228.33356	0.1097
can	228.44331	0.1197
touch	228.56304	0.3093
yourself	228.87234	0.3691
in	229.2415	0.0598
front	229.3712	0.1696
of	229.54082	0.1097
us	229.65057	0.2693
but	229.91995	0.1596
you	230.07959	0.0898
can't	230.16939	0.2993
talk	230.54853	0.1396
to	230.68821	0.0897
Rachel	230.778	0.3991
What	231.1771	1.3170
When	232.6737	0.1297
have	232.8034	0.1097
I	232.91315	0.1596
ever	233.07279	0.3292
touched	233.40204	0.4489
myself	233.85102	0.6585
in	234.50952	0.1297
front	234.66916	0.1496
of	234.81882	0.0898
you	234.90862	0.0798
guys	234.98844	0.4090
Oh	235.50726	0.2095
please	235.86644	0.9378
Just	236.80431	0.1795
before	236.9839	0.3492
when	237.40295	0.3092
you	237.71224	0.1496
were	237.8619	0.0698
asleep	237.93175	0.3392
in	238.27098	0.1197
the	238.3907	0.0698
lounge	238.46054	0.8381
That	239.82744	1.5664
Armenian	241.39388	0.5487
family	241.94263	0.3591
was	242.30181	0.1097
watching	242.41156	0.3791
you	242.7907	0.1795
instead	242.97029	0.3492
of	243.3195	0.0598
the	243.37937	0.0698
TV	243.44921	0.6485
That	244.20748	2.1750
reminds	246.48231	0.4789
me	246.96122	0.1696
that	247.36032	0.1197
Mr	247.48005	0.2893
Hosmigian	247.76939	0.6585
still	248.42789	0.2294
has	248.65737	0.1297
my	248.78707	0.1496
Gameboy	248.93673	0.3691
Hey	249.68503	1.9156
Chandler	251.60068	0.3093
can	252.14943	0.2693
I	252.51859	0.0698
talk	252.58844	0.2095
to	252.79796	0.0598
you	252.85782	0.0598
for	252.91769	0.0698
a	252.98753	0.0299
second	253.01746	0.2494
Sure	253.47642	0.1696
Dude	256.79887	0.2394
I	257.03832	0.0698
just	257.10816	0.2494
did	257.3576	0.1297
something	257.4873	0.3392
terrible	257.82653	0.5288
That	259.11361	0.1596
was	259.27324	0.2294
you	259.50272	0.3192
I	259.822	0.0399
thought	259.8619	0.1496
it	260.01156	0.0598
was	260.07143	0.1895
Jack	260.261	2.1551
No	262.4161	0.0898
no	262.5059	0.1895
That	262.69546	0.1396
wasJack	262.88503	1.7260
No	264.61111	0.0997
Rachel	264.71088	0.2693
thinks	264.98027	0.2294
I	265.20975	0.1197
asked	265.32948	0.2095
her	265.539	0.0598
to	265.59887	0.0598
marry	265.65873	0.3591
me	266.01791	0.1895
What	266.5966	0.2993
Why	266.89592	0.1496
does	267.04558	0.0997
she	267.14535	0.1396
think	267.28503	0.2095
that	267.49456	0.2993
Because	268.81156	0.3791
it	269.1907	0.1097
kind	269.47007	0.2294
of	269.69955	0.0598
looked	269.75941	0.1496
like	269.90907	0.1496
I	270.05873	0.0498
did	270.10862	0.2893
Again	272.16395	0.3990
what	272.56304	0.3292
I	273.50091	0.8979
was	275.03741	0.2095
down	275.24694	0.2394
on	275.48639	0.0898
one	275.57619	0.2594
knee	275.8356	0.2494
with	276.08503	0.1696
the	276.25465	0.1097
ring	276.3644	0.1995
in	276.56395	0.0598
my	276.62381	0.1097
hand	276.73356	0.3392
As	277.07279	0.1396
we	277.21247	0.0997
all	277.31224	0.3093
are	277.62154	0.3093
at	277.93084	0.2394
some	278.17029	0.3093
point	278.47959	0.2294
during	278.70907	0.2394
the	278.94853	0.0598
day	279.00839	0.2993
It	279.30771	1.8956
wasn't	281.2034	0.4190
my	281.62245	0.2494
ring	281.87188	0.2693
It	282.14127	0.0798
fell	282.25102	0.2993
out	282.55034	0.0598
of	282.6102	0.1197
Ross'	282.72993	0.3791
jacket	283.10907	0.3093
and	283.41837	0.0897
when	283.50816	0.1796
I	283.68776	0.0598
knelt	283.74762	0.2594
down	284.00703	0.1396
to	284.14671	0.1197
pick	284.26644	0.2394
it	284.5059	0.0598
up	284.56576	0.2195
Rachel	285.17438	0.2893
thought	285.46372	0.1696
I	285.63333	0.1097
was	285.74308	0.1796
proposing	285.92268	0.6585
Ross	286.80068	0.2693
had	287.07007	0.0897
a	287.15986	0.0299
ring	287.1898	0.4390
And	288.0678	0.1197
he	288.18753	0.0598
was	288.24739	0.1596
going	288.40703	0.1396
to	288.54671	0.0598
propose	288.60658	0.6385
I	289.24512	0.1097
guess	289.35488	0.6784
And	290.0932	0.1795
you	290.27279	0.2793
did	290.55215	0.1596
it	290.71179	0.1396
first	290.85147	1.6861
This	292.53764	0.1795
is	292.71723	0.0997
going	292.81701	0.1197
to	292.93673	0.0598
kill	292.9966	0.3392
him	293.33583	0.1795
You	293.51542	0.2095
know	293.72494	0.2095
how	293.93447	0.0997
much	294.03424	0.2394
he	294.2737	0.0698
loves	294.34354	0.2494
to	294.59297	0.0898
propose	294.68277	0.7383
I	295.55079	1.1374
know	296.68821	0.4290
I	297.11723	0.0698
know	297.18707	0.3492
It's	297.53628	0.1396
awful	297.67596	0.5786
Well	298.70363	0.1496
what	298.85329	0.1297
did	298.98299	0.0898
she	299.07279	0.0798
say	299.15261	0.3891
She	301.38753	0.1097
said	301.49728	0.4489
yes	302.4551	1.2870
You're	304.87959	0.0997
smiling	304.97937	0.7283
No	305.84739	0.1197
I'm	305.96712	1.3569
not	307.32404	2.0553
Yes	309.37937	0.2394
you	309.61882	0.1795
are	309.79841	0.2494
I	310.04785	0.0299
can	310.07778	0.1696
tell	310.24739	0.1696
by	310.41701	0.1297
the	310.54671	0.0598
way	310.60658	0.1496
your	310.75624	0.7483
mouth	311.90363	2.0653
is	313.96893	0.0598
Does	314.0288	0.1895
Ross	314.21837	0.3292
know	314.54762	0.0997
Oh	314.64739	0.1396
my	314.78707	0.0698
God	315.2161	0.1696
What	315.38571	0.8780
the	316.44331	0.1097
hell	316.55306	0.1197
am	316.67279	0.0698
I	317.88005	0.0598
going	317.96984	0.2793
to	318.24921	0.1396
tell	318.38889	0.3891
him	318.778	0.1696
Well	319.12721	0.1297
maybe	319.25692	0.2095
you	319.46644	0.0598
don't	319.5263	0.0997
have	319.62608	0.0897
to	319.71587	0.0698
tell	319.78571	0.1496
him	319.93537	0.0798
anything	320.01519	0.2893
Ooh	320.46417	0.2195
I	320.68367	0.0898
like	320.77347	0.2394
that	321.21247	0.0997
Yeah	321.65147	1.2272
If	323.03832	0.1197
you	323.15805	0.1097
clear	323.2678	0.1995
things	323.46735	0.2693
up	323.73673	0.1396
with	323.87642	0.0997
Rachel	324.0161	0.3591
then	324.37528	0.1496
Ross	324.52494	0.2394
never	324.7644	0.1795
needs	324.94399	0.1795
to	325.12358	0.0698
find	325.19342	0.3292
out	325.52268	0.1297
but	325.65238	0.0898
you	325.74218	0.1097
have	325.85193	0.0997
to	325.9517	0.0997
do	326.05147	0.1696
it	326.22109	0.1197
now	326.34082	0.2594
before	326.60023	0.3192
he	326.9195	0.0598
hears	326.97937	0.2494
about	327.2288	0.1496
it	327.37846	0.0598
and	327.43832	0.1596
kicks	327.59796	0.3292
your	327.92721	0.2195
ass	328.14671	0.5387
Let's	328.71542	0.4090
not	329.12449	0.1396
get	329.26417	0.2195
carried	329.48367	0.2394
away	329.72313	0.4888
I	330.25193	1.4866
want	331.73855	1.5065
a	333.64422	0.1795
baby	333.82381	0.5687
Honey	335.18073	0.2095
we've	335.39025	0.1596
been	335.54989	0.0997
over	335.64966	0.2294
this	335.87914	0.2793
I	336.1585	0.0997
need	336.25828	0.1297
to	336.38798	0.0598
be	336.44785	0.1496
facing	336.59751	0.3591
the	336.95669	0.1197
other	337.07642	0.1297
way	337.20612	0.2394
Come	337.71497	0.1895
on	337.90454	0.5587
Come	338.46327	2.4743
on	341.33673	0.2394
If	341.57619	0.0997
we	341.67596	0.0798
have	341.75578	0.1496
sex	341.94535	0.2095
again	342.15488	0.2195
it'll	342.37438	0.2095
double	342.5839	0.3093
our	342.8932	0.0798
chances	342.97302	0.2893
of	343.26236	0.0698
getting	343.3322	0.2394
pregnant	343.57166	0.4090
I	344.739	0.0299
think	345.22789	0.1596
that	345.38753	0.1297
closet's	345.51723	0.3591
still	345.87642	0.1496
available	346.02608	0.4290
I	347.34308	0.0299
am	347.41293	0.0698
so	347.48277	0.4190
tired	347.90181	2.3945
Yeah	353.39932	0.1696
okay	353.64875	0.2594
but	353.90816	0.2893
no	354.19751	0.1795
foreplay	354.3771	0.5487
Deal	355.10544	0.4489
Dad	356.05329	3.7814
seriously	360.60295	0.9079
You	361.51088	0.1995
know	364.16485	0.2394
you	364.40431	0.2893
really	364.69365	0.2693
should	364.96304	0.2594
see	365.22245	0.3292
someone	365.5517	0.4390
about	365.9907	0.3591
that	366.40975	2.0553
Noted	368.46508	0.4988
I	369.66236	0.8380
want	370.50045	0.6684
to	371.16893	0.4190
go	371.58798	0.1297
talk	371.71769	0.1895
to	371.93719	0.1297
Rachel	372.06689	0.4689
for	372.53583	0.1097
a	372.64558	0.0299
minute	372.67551	0.4090
You	373.08458	0.1097
going	373.19433	0.2893
to	373.48367	0.0698
be	373.55351	0.3791
okay	373.96259	0.4988
alone	374.46145	0.5487
for	375.0102	0.1596
a	375.16984	0.0299
bit	375.19977	0.3093
Are	375.50907	0.0399
you	375.54898	0.1197
kidding	375.66871	0.4290
me	376.09773	0.1795
I	376.27732	0.0898
could	376.36712	0.2095
stay	376.57664	0.3292
and	376.9059	0.1297
look	377.0356	0.1496
at	377.18526	0.0698
her	377.2551	0.1197
forever	377.37483	0.5088
Actually	382.19388	0.6385
uh	382.83243	0.1496
Hey	384.32902	4.6594
Hi	389.63696	0.3392
Are	389.97619	0.0399
you	390.25556	0.1895
all	390.44512	0.0898
right	390.53492	0.5188
Um	391.57256	0.7283
I	393.23878	0.3891
I	393.62789	0.1795
think	394.80522	0.5188
I	395.37392	0.1596
just	395.53356	0.3392
got	395.87279	0.2494
engaged	396.12222	0.7882
Oh	397.09002	0.0898
my	397.17982	0.0598
God	397.23968	0.7981
He	398.27732	0.1297
did	398.40703	0.2594
it	399.20522	0.1197
Did	399.93356	0.1496
you	400.08322	0.1097
know	400.19297	0.1496
he	400.34263	0.1097
was	400.45238	0.1297
going	400.58209	0.1297
to	400.71179	0.1496
ask	400.86145	0.2394
me	401.10091	0.1197
Are	401.22063	0.1396
you	401.65964	0.1895
kidding	401.84921	0.4390
I'm	402.59751	0.1995
like	402.79705	0.1795
the	402.97664	0.1496
one	403.1263	0.2594
who	403.38571	0.0997
talked	403.48549	0.3292
him	403.81474	0.1197
into	403.93447	0.3891
it	404.73265	1.4467
I	406.17937	0.0598
like	406.23923	0.1696
to	406.40884	0.1097
think	406.51859	0.1895
of	406.70816	0.0798
myself	406.78798	0.4589
as	407.24694	0.1396
the	407.38662	0.1097
puppet	407.49637	0.3791
master	407.87551	0.4489
of	408.32449	0.0698
the	408.39433	0.0997
group	408.4941	0.3292
And	409.03288	2.6439
you	411.67687	0.0898
really	411.76667	0.3192
think	412.08594	0.2294
this	412.31542	0.0898
is	412.40522	0.2294
a	412.63469	0.0299
good	412.66463	0.1995
idea	412.86417	0.4190
I	413.96168	0.0399
just	414.00159	0.2294
talked	414.23107	0.2594
him	414.49048	0.2494
into	414.73991	0.2793
it	415.01927	0.1297
Don't	415.14898	0.1795
tell	415.32857	0.1696
me	415.49819	0.1396
I	415.63787	0.0498
have	415.68776	0.2494
to	415.93719	0.3492
do	416.28639	0.1696
you	416.45601	0.3292
too	416.92494	1.1573
The	418.08231	0.0698
puppet	418.15215	0.3691
master	418.52132	0.3492
gets	418.87052	0.2594
tired	419.12993	0.4888
people	419.61882	0.5387
I	420.3771	1.3269
don't	421.70408	0.7981
know	422.50227	0.2294
It	422.73175	0.1696
just	422.90136	0.2095
doesn't	423.11088	0.3093
feel	423.42018	0.5288
right	423.94898	0.5886
Why	424.63741	0.1796
You	424.86689	0.3192
two	425.18617	0.3092
are	425.49546	0.1396
so	425.63515	0.6285
meant	426.26372	0.2494
to	426.51315	0.0798
be	426.59297	0.2095
together	426.80249	0.4988
Everybody	427.30136	0.5587
thinks	427.86009	0.2294
so	428.1195	0.3591
Really	428.59841	0.6086
Even	429.69592	0.3292
Ross	430.0551	0.3292
Especially	432.25011	0.4390
Ross	432.68912	0.5088
Oh	433.41746	0.0299
uh	433.4873	0.0299
hey	433.51723	1.6861
Pheebs	435.2034	0.2993
Uh	436.73991	0.0798
you	436.81973	0.2893
know	437.10907	0.1297
what	437.67778	1.0276
I'll	438.70544	0.1596
uh	438.86508	0.1795
I'll	439.04467	0.4489
come	439.55351	0.1796
back	439.73311	0.2993
later	440.03243	0.2793
Wow	444.07324	0.2494
Kind	444.42245	0.2494
of	444.67188	0.1496
a	444.82154	0.0299
Kind	444.85147	0.1396
of	445.12086	0.2394
a	445.36032	0.0299
full	445.39025	0.5587
house	446.10862	1.4467
I	448.21383	0.0299
guess	448.24376	0.2394
I'll	448.48322	0.1696
just	449.20159	0.3192
I'll	449.52086	0.1496
come	452.73356	2.1251
back	455.20794	0.5387
There	455.78662	0.3392
he	456.12585	0.1696
goes	456.4551	0.2594
Your	456.7644	0.0997
fiancèè	456.86417	0.6884
I	457.55261	0.4589
guess	458.54036	0.4489
so	458.98934	0.3691
Although	459.3585	0.2693
he	459.72766	1.9755
does	461.70317	0.2494
play	461.95261	0.2494
with	462.20204	0.1197
himself	462.32177	0.4090
in	462.73084	0.0598
his	462.7907	0.1795
sleep	462.97029	0.2793
Can't	463.69864	0.2893
say	463.98798	0.1795
I'm	464.16757	0.0698
surprised	464.23741	0.7582
Dad	465.0356	0.3990
what	465.43469	4.6793
are	470.11406	0.0299
you	470.14399	0.0997
doing	470.24376	0.6285
I	471.30136	0.0898
think	471.44104	0.1995
there	471.64059	0.1696
are	471.8102	0.0498
people	471.86009	0.3990
in	472.25918	0.0798
there	472.339	0.1596
having	472.49864	0.2893
sex	472.78798	0.6385
Can't	473.7059	3.3124
be	477.01837	0.1396
me	477.15805	0.2394
I'm	477.39751	0.0798
standing	477.47732	0.6485
right	478.12585	0.1995
here	478.3254	2.3646
Want	480.79977	0.1895
to	480.98934	0.0898
peek	481.07914	0.1596
No	481.72766	0.7782
Come	482.5059	0.2294
on	482.73537	0.8780
You	484.78073	1.1573
know	485.9381	0.6086
what	486.85601	3.7614
I	490.61746	0.0498
don't	490.66735	0.1396
like	490.80703	0.3591
you	491.16621	0.5986
without	491.76485	1.4566
Mom	493.22154	0.1995
Come	493.42109	1.0176
on	494.43878	0.0598
We're	495.07732	0.0898
not	495.16712	0.2195
peeking	495.38662	0.6984
Well	496.08503	0.6884
I'm	496.77347	0.1995
peeking	497.76122	0.5387
Oh	498.3	0.1795
my	498.47959	0.2494
God	498.72902	0.2294
Hello	498.9585	2.6839
sir	501.6424	0.3591
You	502.93946	0.1197
know	503.05918	0.1396
Monica	503.19887	0.4290
Hey	504.20658	6.7446
uh	510.95125	0.0299
is	510.98118	1.1274
it	515.461	2.2947
okay	517.75578	0.1297
to	520.80884	0.1895
come	520.99841	0.3991
in	522.0161	0.2793
Of	522.34535	0.3492
course	522.86417	0.6485
Oh	523.75215	0.0798
Joey	523.97166	0.4988
this	524.47052	0.4390
ring	524.92948	0.3591
I	525.28866	0.1696
it's	525.85737	0.2494
beautiful	526.1068	0.7283
I	526.83515	0.0598
love	526.89501	0.3891
it	527.28413	0.1496
Yeah	528.99025	0.2394
Uh	529.3195	0.3791
look	529.69864	0.2693
Rach	530.00794	0.4190
there's	530.42698	0.4489
something	530.87596	0.4489
I	531.32494	0.0299
got	531.35488	0.1995
to	531.55442	0.1496
tell	531.70408	0.1396
you	532.19297	0.0798
Hey	533.69955	0.4988
Hi	534.19841	0.5487
Are	534.74717	0.0299
you	534.7771	0.1097
ready	534.88685	0.2294
to	535.11633	0.0798
try	535.19615	0.2893
nursing	535.48549	0.2793
again	535.78481	0.3092
Yeah	536.0941	0.0997
Hi	536.19388	0.4190
Emma	536.61293	0.1297
Hey	536.74263	0.2394
why	537.35125	0.2494
do	537.60068	0.7083
you	539.25692	0.1297
think	539.38662	0.4888
she	539.89546	0.1895
won't	540.08503	0.2693
take	540.3644	0.1895
my	540.55397	0.1097
breast	540.66372	0.4888
It's	541.39206	0.1895
all	541.58163	0.1097
right	541.69138	0.2693
honey	541.96077	0.3192
Takes	542.44966	0.2195
some	542.66916	0.1895
babies	542.85873	0.3192
a	543.178	0.0498
while	543.22789	0.2095
to	543.43741	0.0698
get	543.50726	0.2294
it	543.73673	0.1396
But	543.87642	0.0897
don't	543.96621	0.2195
worry	544.18571	0.6585
It'll	547.26871	0.3691
happen	547.63787	2.9333
Yowza	550.5712	0.1795
Okay	550.75079	0.2294
sweetie	550.98027	0.3791
you	551.35941	0.1197
can	551.47914	0.0897
do	551.56893	0.2893
it	551.85828	0.2195
Just	552.23741	0.2693
open	552.5068	0.3492
up	552.85601	0.2095
and	553.06553	0.1197
put	553.18526	0.1995
it	553.38481	0.1097
in	553.49456	0.1297
your	553.62426	0.1496
mouth	553.77392	0.6385
Dear	554.83152	0.2494
Lord	555.30045	0.4489
I'm	556.0288	0.0598
sorry	556.08866	0.1496
honey	556.23832	0.1496
What	556.38798	2.6439
were	559.08186	0.0598
you	559.14172	0.0598
saying	559.20159	1.4068
Uh	560.60839	0.3392
uh	560.94762	0.5188
yeah	561.46644	0.2494
look	561.76576	0.2394
I	562.00522	0.2195
I	562.30454	0.1396
think	562.44422	0.2793
that	562.72358	0.1795
Oh	563.13265	0.1496
because	563.28231	0.3991
look	563.68141	0.1097
she's	563.79116	0.1895
pulling	563.98073	0.2893
away	564.27007	0.2195
